period,year,month,carrier,technology,lines
2018.12,2018,12,KT,FTTH,5033454
2018.12,2018,12,SK브로드밴드,xDSL,82647
2018.12,2018,12,SK브로드밴드,LAN,1025245
2018.12,2018,12,SK브로드밴드,HFC,380591
2018.12,2018,12,SK브로드밴드,FTTH,933907
2018.12,2018,12,SKT(재판매),xDSL,116885
2018.12,2018,12,SKT(재판매),LAN,1424756
2018.12,2018,12,SKT(재판매),HFC,395146
2018.12,2018,12,SKT(재판매),FTTH,914539
2018.12,2018,12,LG U+,xDSL,0
2018.12,2018,12,LG U+,LAN,2031510
2018.12,2018,12,LG U+,HFC,729630
2018.12,2018,12,LG U+,FTTH,1260435
2018.12,2018,12,종합유선,xDSL,19572
2018.12,2018,12,종합유선,LAN,963615
2018.12,2018,12,종합유선,HFC,1972475
2018.12,2018,12,종합유선,FTTH,158025
2018.12,2018,12,기타,xDSL,581
2018.12,2018,12,기타,LAN,9968
2018.12,2018,12,기타,HFC,2961
2018.12,2018,12,기타,FTTH,2837
2019.01,2019,1,합계,xDSL,686428
2019.01,2019,1,합계,LAN,8705231
2019.01,2019,1,합계,HFC,3448898
2019.01,2019,1,합계,FTTH,8357035
2019.01,2019,1,KT,xDSL,470347
2019.01,2019,1,KT,LAN,3224443
2019.01,2019,1,KT,HFC,0
2019.01,2019,1,KT,FTTH,5050322
2019.01,2019,1,SK브로드밴드,xDSL,81144
2019.01,2019,1,SK브로드밴드,LAN,1029373
2019.01,2019,1,SK브로드밴드,HFC,372637
2019.01,2019,1,SK브로드밴드,FTTH,940644
2019.01,2019,1,SKT(재판매),xDSL,115197
2019.01,2019,1,SKT(재판매),LAN,1434592
2019.01,2019,1,SKT(재판매),HFC,390148
2019.01,2019,1,SKT(재판매),FTTH,925631
2019.01,2019,1,LG U+,xDSL,0
2019.01,2019,1,LG U+,LAN,2042414
2019.01,2019,1,LG U+,HFC,721887
2019.01,2019,1,LG U+,FTTH,1280251
2019.01,2019,1,종합유선,xDSL,19282
2019.01,2019,1,종합유선,LAN,963161
2019.01,2019,1,종합유선,HFC,1961303
2019.01,2019,1,종합유선,FTTH,157137
2019.01,2019,1,기타,xDSL,458
2019.01,2019,1,기타,LAN,11248
2019.01,2019,1,기타,HFC,2923
2019.01,2019,1,기타,FTTH,3050
2019.02,2019,2,합계,xDSL,677865
2019.02,2019,2,합계,LAN,8744216
2019.02,2019,2,합계,HFC,3427079
2019.02,2019,2,합계,FTTH,8396327
2019.02,2019,2,KT,xDSL,464688
2019.02,2019,2,KT,LAN,3229067
2019.02,2019,2,KT,HFC,0
2019.02,2019,2,KT,FTTH,5062487
2019.02,2019,2,SK브로드밴드,xDSL,79886
2019.02,2019,2,SK브로드밴드,LAN,1036186
2019.02,2019,2,SK브로드밴드,HFC,366851
2019.02,2019,2,SK브로드밴드,FTTH,942635
2019.02,2019,2,SKT(재판매),xDSL,113734
2019.02,2019,2,SKT(재판매),LAN,1446589
2019.02,2019,2,SKT(재판매),HFC,386842
2019.02,2019,2,SKT(재판매),FTTH,930800
2019.02,2019,2,LG U+,xDSL,0
2019.02,2019,2,LG U+,LAN,2054500
2019.02,2019,2,LG U+,HFC,716514
2019.02,2019,2,LG U+,FTTH,1298817
2019.02,2019,2,종합유선,xDSL,19105
2019.02,2019,2,종합유선,LAN,966633
2019.02,2019,2,종합유선,HFC,1953954
2019.02,2019,2,종합유선,FTTH,158525
2019.02,2019,2,기타,xDSL,452
2019.02,2019,2,기타,LAN,11241
2019.02,2019,2,기타,HFC,2918
2019.02,2019,2,기타,FTTH,3063
2019.03,2019,3,합계,xDSL,668259
2019.03,2019,3,합계,LAN,8792256
2019.03,2019,3,합계,HFC,3400407
2019.03,2019,3,합계,FTTH,8456037
2019.03,2019,3,KT,xDSL,458134
2019.03,2019,3,KT,LAN,3240451
2019.03,2019,3,KT,HFC,0
2019.03,2019,3,KT,FTTH,5083250
2019.03,2019,3,SK브로드밴드,xDSL,78412
2019.03,2019,3,SK브로드밴드,LAN,1042700
2019.03,2019,3,SK브로드밴드,HFC,359414
2019.03,2019,3,SK브로드밴드,FTTH,947321
2019.03,2019,3,SKT(재판매),xDSL,112353
2019.03,2019,3,SKT(재판매),LAN,1460284
2019.03,2019,3,SKT(재판매),HFC,382567
2019.03,2019,3,SKT(재판매),FTTH,939858
2019.03,2019,3,LG U+,xDSL,0
2019.03,2019,3,LG U+,LAN,2065954
2019.03,2019,3,LG U+,HFC,708721
2019.03,2019,3,LG U+,FTTH,1322339
2019.03,2019,3,종합유선,xDSL,18916
2019.03,2019,3,종합유선,LAN,971667
2019.03,2019,3,종합유선,HFC,1946817
2019.03,2019,3,종합유선,FTTH,160200
2019.03,2019,3,기타,xDSL,444
2019.03,2019,3,기타,LAN,11200
2019.03,2019,3,기타,HFC,2888
2019.03,2019,3,기타,FTTH,3069
2019.04,2019,4,합계,xDSL,656190
2019.04,2019,4,합계,LAN,8842420
2019.04,2019,4,합계,HFC,3369214
2019.04,2019,4,합계,FTTH,8505957
2019.04,2019,4,KT,xDSL,448993
2019.04,2019,4,KT,LAN,3261366
2019.04,2019,4,KT,HFC,0
2019.04,2019,4,KT,FTTH,5097314
2019.04,2019,4,SK브로드밴드,xDSL,77044
2019.04,2019,4,SK브로드밴드,LAN,1046997
2019.04,2019,4,SK브로드밴드,HFC,351551
2019.04,2019,4,SK브로드밴드,FTTH,951704
2019.04,2019,4,SKT(재판매),xDSL,110997
2019.04,2019,4,SKT(재판매),LAN,1472123
2019.04,2019,4,SKT(재판매),HFC,378453
2019.04,2019,4,SKT(재판매),FTTH,947603
2019.04,2019,4,LG U+,xDSL,0
2019.04,2019,4,LG U+,LAN,2075076
2019.04,2019,4,LG U+,HFC,698140
2019.04,2019,4,LG U+,FTTH,1344735
2019.04,2019,4,종합유선,xDSL,18712
2019.04,2019,4,종합유선,LAN,975593
2019.04,2019,4,종합유선,HFC,1938384
2019.04,2019,4,종합유선,FTTH,161533
2019.04,2019,4,기타,xDSL,444
2019.04,2019,4,기타,LAN,11265
2019.04,2019,4,기타,HFC,2686
2019.04,2019,4,기타,FTTH,3068
2019.05,2019,5,합계,xDSL,647314
2019.05,2019,5,합계,LAN,8878319
2019.05,2019,5,합계,HFC,3348001
2019.05,2019,5,합계,FTTH,8556475
2019.05,2019,5,KT,xDSL,442522
2019.05,2019,5,KT,LAN,3267301
2019.05,2019,5,KT,HFC,0
2019.05,2019,5,KT,FTTH,5116515
2019.05,2019,5,SK브로드밴드,xDSL,75947
2019.05,2019,5,SK브로드밴드,LAN,1052150
2019.05,2019,5,SK브로드밴드,HFC,345826
2019.05,2019,5,SK브로드밴드,FTTH,958670
2019.05,2019,5,SKT(재판매),xDSL,109919
2019.05,2019,5,SKT(재판매),LAN,1483998
2019.05,2019,5,SKT(재판매),HFC,375674
2019.05,2019,5,SKT(재판매),FTTH,955234
2019.05,2019,5,LG U+,xDSL,0
2019.05,2019,5,LG U+,LAN,2085461
2019.05,2019,5,LG U+,HFC,688777
2019.05,2019,5,LG U+,FTTH,1366944
2019.05,2019,5,종합유선,xDSL,18483
2019.05,2019,5,종합유선,LAN,978027
2019.05,2019,5,종합유선,HFC,1935054
2019.05,2019,5,종합유선,FTTH,156043
2019.05,2019,5,기타,xDSL,443
2019.05,2019,5,기타,LAN,11382
2019.05,2019,5,기타,HFC,2670
2019.05,2019,5,기타,FTTH,3069
2019.06,2019,6,합계,xDSL,639790
2019.06,2019,6,합계,LAN,8902671
2019.06,2019,6,합계,HFC,3327903
2019.06,2019,6,합계,FTTH,8612252
2019.06,2019,6,KT,xDSL,437263
2019.06,2019,6,KT,LAN,3273898
2019.06,2019,6,KT,HFC,0
2019.06,2019,6,KT,FTTH,5138322
2019.06,2019,6,SK브로드밴드,xDSL,75067
2019.06,2019,6,SK브로드밴드,LAN,1054412
2019.06,2019,6,SK브로드밴드,HFC,340465
2019.06,2019,6,SK브로드밴드,FTTH,963218
2019.06,2019,6,SKT(재판매),xDSL,108947
2019.06,2019,6,SKT(재판매),LAN,1494776
2019.06,2019,6,SKT(재판매),HFC,373490
2019.06,2019,6,SKT(재판매),FTTH,963899
2019.06,2019,6,LG U+,xDSL,0
2019.06,2019,6,LG U+,LAN,2092841
2019.06,2019,6,LG U+,HFC,679218
2019.06,2019,6,LG U+,FTTH,1386982
2019.06,2019,6,종합유선,xDSL,18070
2019.06,2019,6,종합유선,LAN,975328
2019.06,2019,6,종합유선,HFC,1932050
2019.06,2019,6,종합유선,FTTH,156752
2019.06,2019,6,기타,xDSL,443
2019.06,2019,6,기타,LAN,11416
2019.06,2019,6,기타,HFC,2680
2019.06,2019,6,기타,FTTH,3079
2019.07,2019,7,합계,xDSL,631509
2019.07,2019,7,합계,LAN,8926149
2019.07,2019,7,합계,HFC,3293334
2019.07,2019,7,합계,FTTH,8674093
2019.07,2019,7,KT,xDSL,431517
2019.07,2019,7,KT,LAN,3279337
2019.07,2019,7,KT,HFC,0
2019.07,2019,7,KT,FTTH,5156867
2019.07,2019,7,SK브로드밴드,xDSL,73916
2019.07,2019,7,SK브로드밴드,LAN,1056007
2019.07,2019,7,SK브로드밴드,HFC,334701
2019.07,2019,7,SK브로드밴드,FTTH,966803
2019.07,2019,7,SKT(재판매),xDSL,107625
2019.07,2019,7,SKT(재판매),LAN,1506084
2019.07,2019,7,SKT(재판매),HFC,371236
2019.07,2019,7,SKT(재판매),FTTH,973532
2019.07,2019,7,LG U+,xDSL,0
2019.07,2019,7,LG U+,LAN,2100333
2019.07,2019,7,LG U+,HFC,669812
2019.07,2019,7,LG U+,FTTH,1407467
2019.07,2019,7,종합유선,xDSL,18013
2019.07,2019,7,종합유선,LAN,973025
2019.07,2019,7,종합유선,HFC,1914929
2019.07,2019,7,종합유선,FTTH,166336
2019.07,2019,7,기타,xDSL,438
2019.07,2019,7,기타,LAN,11363
2019.07,2019,7,기타,HFC,2656
2019.07,2019,7,기타,FTTH,3088
2019.08,2019,8,합계,xDSL,623645
2019.08,2019,8,합계,LAN,8957987
2019.08,2019,8,합계,HFC,3270327
2019.08,2019,8,합계,FTTH,8726779
2019.08,2019,8,KT,xDSL,426571
2019.08,2019,8,KT,LAN,3286995
2019.08,2019,8,KT,HFC,0
2019.08,2019,8,KT,FTTH,5174342
2019.08,2019,8,SK브로드밴드,xDSL,72778
2019.08,2019,8,SK브로드밴드,LAN,1058732
2019.08,2019,8,SK브로드밴드,HFC,329803
2019.08,2019,8,SK브로드밴드,FTTH,971133
2019.08,2019,8,SKT(재판매),xDSL,106308
2019.08,2019,8,SKT(재판매),LAN,1517420
2019.08,2019,8,SKT(재판매),HFC,369317
2019.08,2019,8,SKT(재판매),FTTH,982924
2019.08,2019,8,LG U+,xDSL,0
2019.08,2019,8,LG U+,LAN,2109895
2019.08,2019,8,LG U+,HFC,662808
2019.08,2019,8,LG U+,FTTH,1427451
2019.08,2019,8,종합유선,xDSL,17536
2019.08,2019,8,종합유선,LAN,973793
2019.08,2019,8,종합유선,HFC,1905767
2019.08,2019,8,종합유선,FTTH,167815
2019.08,2019,8,기타,xDSL,452
2019.08,2019,8,기타,LAN,11152
2019.08,2019,8,기타,HFC,2632
2019.08,2019,8,기타,FTTH,3114
2019.09,2019,9,합계,xDSL,616187
2019.09,2019,9,합계,LAN,8984867
2019.09,2019,9,합계,HFC,3252403
2019.09,2019,9,합계,FTTH,8767427
2019.09,2019,9,KT,xDSL,421548
2019.09,2019,9,KT,LAN,3293799
2019.09,2019,9,KT,HFC,0
2019.09,2019,9,KT,FTTH,5188576
2019.09,2019,9,SK브로드밴드,xDSL,71706
2019.09,2019,9,SK브로드밴드,LAN,1061610
2019.09,2019,9,SK브로드밴드,HFC,325543
2019.09,2019,9,SK브로드밴드,FTTH,974432
2019.09,2019,9,SKT(재판매),xDSL,105135
2019.09,2019,9,SKT(재판매),LAN,1526412
2019.09,2019,9,SKT(재판매),HFC,367801
2019.09,2019,9,SKT(재판매),FTTH,990005
2019.09,2019,9,LG U+,xDSL,0
2019.09,2019,9,LG U+,LAN,2118956
2019.09,2019,9,LG U+,HFC,657446
2019.09,2019,9,LG U+,FTTH,1442534
